instance,seed,arm,feasible,makespan,makespan_ref,wall_ms,res_frac,past_changed,past_total,release_size,alive_size,delta,esc_rounds,esc_wall_ms,k,jobs,machines,n_res,n_live,closure,closure_frac,n_nodes,n_corridors
S20x10x10,2024,RD,True,132.85,131.0,35.91,0.627,0,152,,255,,,,10,20,10,407,255,226,0.886,17,18
S20x10x10,99,R2,True,140.0,140.0,9.256,0.225,0,161,210,230,,,,10,20,10,391,230,210,0.913,17,18
S20x10x10,99,RS,True,230.0,140.0,3.898,0.588,0,161,,230,90.0,,,10,20,10,391,230,210,0.913,17,18
S20x10x10,99,RD,True,137.0,140.0,26.567,0.545,0,161,,230,,,,10,20,10,391,230,210,0.913,17,18
S20x10x10,123,R2,True,140.0,134.0,10.267,0.421,0,162,195,242,,,,10,20,10,404,242,195,0.806,17,18
S20x10x10,123,RS,True,220.0,134.0,3.766,0.599,0,162,,242,86.0,,,10,20,10,404,242,195,0.806,17,18
S20x10x10,123,RD,True,137.9,134.0,34.501,0.604,2,162,,242,,,,10,20,10,404,242,195,0.806,17,18
S20x10x10,13,R2,True,134.0,134.0,10.901,0.27,0,166,184,252,,,,10,20,10,418,252,184,0.73,17,18
S20x10x10,13,RS,True,218.0,134.0,3.947,0.603,0,166,,252,84.0,,,10,20,10,418,252,184,0.73,17,18
S20x10x10,13,RD,True,128.0,134.0,32.31,0.603,4,166,,252,,,,10,20,10,418,252,184,0.73,17,18
S20x10x10,1,R2,True,125.0,125.0,9.437,0.201,0,160,157,239,,,,10,20,10,399,239,157,0.657,17,18
S20x10x10,1,RS,True,203.0,125.0,4.389,0.599,0,160,,239,78.0,,,10,20,10,399,239,157,0.657,17,18
S20x10x10,1,RD,True,125.75,125.0,33.915,0.602,1,160,,239,,,,10,20,10,399,239,157,0.657,17,18
S20x10x10,777,R2,True,127.0,121.0,12.034,0.244,0,160,169,249,,,,10,20,10,409,249,169,0.679,17,18
S20x10x10,777,RS,True,190.0,121.0,4.205,0.609,0,160,,249,69.0,,,10,20,10,409,249,169,0.679,17,18
S20x10x10,777,RD,True,126.35,121.0,37.074,0.609,0,160,,249,,,,10,20,10,409,249,169,0.679,17,18
S20x10x10,31415,R2,True,125.0,125.0,8.526,0.203,0,156,203,248,,,,10,20,10,404,248,203,0.819,17,18
S20x10x10,31415,RS,True,202.0,125.0,5.494,0.614,0,156,,248,77.0,,,10,20,10,404,248,203,0.819,17,18
S20x10x10,31415,RD,True,132.0,125.0,32.992,0.587,1,156,,248,,,,10,20,10,404,248,203,0.819,17,18
S20x10x10,8,R2,True,129.0,122.0,11.126,0.271,0,146,195,241,,,,10,20,10,387,241,195,0.809,17,18
S20x10x10,8,RS,True,198.0,122.0,3.585,0.623,0,146,,241,76.0,,,10,20,10,387,241,195,0.809,17,18
S20x10x10,8,RD,True,128.0,122.0,37.589,0.597,0,146,,241,,,,10,20,10,387,241,195,0.809,17,18
